100 50
0 46 4
2 42 33
1 4 15
2 19 10
0 41 14
4 32 58
1 26 27
3 7 56
3 39 46
2 2 6
4 41 25
3 24 3
2 16 33
2 36 12
0 32 51
2 2 6
4 46 46
1 22 33
4 33 25
4 12 33
2 22 19
1 28 7
0 27 38
0 17 50
0 17 39
1 14 13
3 41 13
2 49 31
0 12 55
1 27 52
0 14 59
2 23 22
0 5 4
0 28 54
4 41 33
0 27 30
0 41 42
1 46 38
0 38 28
0 16 16
4 1 13
1 28 55
3 31 35
3 34 9
3 34 17
4 4 24
2 32 0
1 28 0
1 35 14
4 11 57
100 50
3 9 59
4 47 44
2 35 18
0 10 29
4 36 10
4 48 45
0 24 21
1 10 9
0 25 49
2 17 59
0 39 5
4 47 21
0 36 15
1 17 43
0 17 19
0 24 3
4 13 23
1 10 30
3 47 49
3 42 22
0 7 3
0 16 28
3 4 10
0 28 2
1 30 2
3 45 7
3 24 39
1 45 30
0 16 21
4 43 49
4 49 28
4 30 18
0 40 31
1 37 16
3 17 1
3 26 44
2 22 10
0 22 3
0 5 7
4 4 2
0 39 54
0 16 53
1 34 56
0 37 42
1 37 21
3 29 11
4 16 6
2 14 3
3 10 30
0 21 5
100 50
3 28 11
2 42 57
3 35 52
1 2 44
3 41 46
1 48 24
2 31 6
3 42 13
2 6 21
1 35 14
2 3 44
2 13 7
0 22 30
4 4 38
4 18 14
1 24 25
4 44 16
0 30 42
4 17 49
1 11 34
2 38 21
1 6 32
3 48 16
0 11 52
0 21 27
4 45 3
0 9 23
1 49 57
4 11 21
0 0 38
2 36 12
3 39 6
4 31 56
2 18 13
4 4 55
2 49 12
2 32 53
4 39 22
4 27 23
0 20 18
2 48 5
4 5 51
3 25 40
1 20 2
3 9 59
1 35 56
3 6 1
3 15 29
3 33 51
4 7 30
100 50
4 30 49
4 43 12
0 5 52
1 26 29
0 47 0
3 9 11
1 15 8
1 4 27
4 13 48
1 19 17
2 31 53
3 15 54
3 48 10
4 15 55
4 2 13
1 28 21
0 12 54
3 42 47
3 10 50
3 4 4
3 40 43
2 6 4
4 3 28
2 19 43
2 15 54
4 35 40
2 48 18
2 31 8
3 21 16
3 48 40
2 48 25
4 46 20
2 13 42
1 37 16
3 23 48
4 0 26
0 16 9
1 46 17
0 37 38
0 8 31
3 26 37
0 11 59
4 45 21
3 32 14
3 23 15
1 10 46
2 27 29
3 49 9
0 37 7
2 26 3
100 50
4 47 2
3 10 12
1 18 45
1 47 33
1 14 9
2 3 2
0 0 48
4 16 31
3 9 42
2 41 53
0 2 20
1 33 35
4 36 39
2 46 33
4 17 15
4 47 53
1 10 53
1 7 18
0 47 42
0 5 50
2 26 58
0 26 46
3 25 6
2 34 0
4 35 20
4 23 28
3 42 11
2 27 38
3 22 44
3 14 14
0 27 27
2 4 9
1 13 25
2 40 57
1 15 21
4 42 12
4 34 3
1 22 54
3 49 43
0 38 40
4 19 22
4 30 24
0 10 38
0 14 49
0 29 20
3 25 40
0 3 7
1 18 4
0 11 14
3 38 44
100 50
3 10 35
2 1 57
0 11 27
1 10 24
2 16 20
3 25 7
3 26 1
1 3 20
2 19 44
1 3 55
1 22 53
0 49 8
1 30 36
3 18 51
0 35 18
3 29 28
3 42 34
3 8 37
4 46 2
4 13 50
4 23 43
1 29 38
4 26 8
0 38 45
3 35 41
1 37 59
1 0 37
2 38 8
3 5 39
4 15 46
2 48 7
4 5 59
4 13 3
2 2 33
1 29 51
0 20 46
0 38 10
2 8 0
3 2 39
3 29 59
4 45 48
0 13 6
4 0 9
1 35 43
4 24 6
2 27 51
3 12 50
3 19 41
1 23 15
1 30 11
100 50
3 3 33
3 31 25
4 34 51
4 9 33
2 1 16
0 43 14
3 28 22
0 15 10
3 11 30
1 1 9
4 8 37
2 42 30
3 1 51
2 18 25
3 38 55
2 31 31
0 8 45
0 33 22
2 5 39
2 1 22
1 1 27
1 37 37
4 31 49
1 8 33
3 21 39
2 2 33
0 35 34
2 44 32
1 42 28
4 36 54
0 46 55
2 16 14
2 45 24
3 35 49
2 19 6
4 8 24
0 40 51
4 35 39
0 2 8
2 40 57
0 24 48
4 27 1
1 5 17
0 26 33
4 49 24
3 16 12
2 10 50
4 21 16
1 1 33
3 13 54
100 50
3 23 54
1 6 21
2 0 42
2 35 18
3 8 42
1 1 37
2 2 54
3 30 20
1 33 30
2 7 28
4 47 9
2 18 24
1 29 25
0 46 12
2 34 35
4 3 59
4 1 59
3 49 55
3 42 4
3 21 48
3 22 8
4 20 0
3 33 42
1 29 25
0 23 45
4 24 25
1 34 17
1 46 50
1 7 29
2 5 18
4 28 27
4 40 18
1 7 31
2 4 11
1 16 41
4 19 32
1 23 45
0 7 2
0 22 42
2 37 30
1 24 52
1 38 44
3 5 40
0 45 46
0 29 39
1 12 32
4 12 15
3 43 39
3 14 23
2 13 0
100 50
4 24 24
1 25 27
0 24 39
4 32 10
3 12 38
2 9 52
4 12 0
2 35 28
2 25 23
1 11 10
2 44 8
0 19 32
2 5 18
2 25 10
0 13 51
4 30 21
2 41 24
4 49 42
2 41 10
4 11 17
1 43 1
1 22 55
1 28 12
0 36 12
4 40 15
4 40 35
2 41 38
3 32 40
1 33 8
3 21 18
2 3 15
3 1 26
4 47 48
4 19 14
4 9 10
0 33 14
1 38 15
3 32 17
3 20 2
0 7 9
0 42 24
0 24 28
4 11 46
1 16 54
3 37 7
3 39 14
3 28 7
1 49 17
3 4 12
3 46 56
100 50
3 41 39
3 48 11
2 2 53
3 32 36
1 39 43
1 42 29
4 30 35
0 34 36
4 3 23
3 41 38
0 36 32
4 16 38
3 44 46
1 1 9
4 28 25
1 18 9
1 12 54
1 14 9
3 15 52
4 6 36
2 22 24
0 9 7
4 34 14
2 32 30
